Job_Number,Category,# Total,# Complete,# In Process,# Not Started,% Complete,% Complete (Text),CategorySortOrder
11582A-43,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-44,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-45,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-49,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-50,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-55,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-57,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-58,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-64,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-65,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-70,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-71,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-72,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-77,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-78,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-79,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-80,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-82,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-83,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-87,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-88,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-89,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-92,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-94,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-59,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-60,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-61,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-66,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-67,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-68,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-69,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-73,Outside Service Routing,0,0,0,0,0.0,0%,3
